time[s],x_ref,y_ref,z_ref,x_act,y_act,z_act,rmse_x,rmse_y,rmse_z,rmse_total
0.0,0.0,0.0,0.0,9.333738946517532e-10,-2.2004198914376828e-14,0.4995094967774187,,,,
0.01,0.0,0.0,0.0,1.9337933841012313e-09,-3.0895363556659486e-13,0.4980379945843725,,,,
0.02,0.0,0.0,0.0,2.935749438457313e-09,-1.4590068275117776e-12,0.495585520536762,,,,
0.03,0.0,0.0,0.0,3.941486895798385e-09,-4.648641344631392e-12,0.4921521195092686,,,,
0.04,0.0,0.0,0.0,4.9543273950827514e-09,-1.1709648773792267e-11,0.487737854065327,,,,
0.05,0.0,0.0,0.0,5.978464164704431e-09,-2.509591798578203e-11,0.48234280445243827,,,,
0.06,0.0,0.0,0.0,7.018586485939225e-09,-4.798004245895281e-11,0.47596706859597254,,,,
0.07,0.0,0.0,0.0,8.079495814312137e-09,-8.427641112145839e-11,0.4686107620916974,,,,
0.08,0.0,0.0,0.0,9.165755233500622e-09,-1.3849570477840042e-10,0.46027401819720526,,,,
0.09,0.0,0.0,0.0,1.0281335562512625e-08,-2.155513046464543e-10,0.45095698782219146,,,,
0.1,0.0,0.0,0.0,1.1429285607191036e-08,-3.206027224985809e-10,0.4406598395175189,,,,
0.11,0.0,0.0,0.0,1.2611495410348698e-08,-4.5892434328487907e-10,0.42938275946305404,,,,
0.12,0.0,0.0,0.0,1.3828582546504182e-08,-6.357767542571746e-10,0.4171259514542778,,,,
0.13,0.0,0.0,0.0,1.5079910577469163e-08,-8.56305253064205e-10,0.4038896368876223,,,,
0.14,0.0,0.0,0.0,1.6363725819184954e-08,-1.125451934131297e-09,0.3896740547445298,,,,
0.15,0.0,0.0,0.0,1.767735651903692e-08,-1.4478690473966233e-09,0.37447946157424966,,,,
0.16,0.0,0.0,0.0,1.9017425245602448e-08,-1.8278475373975362e-09,0.35830613147537493,,,,
0.17,0.0,0.0,0.0,2.038006197441192e-08,-2.269254707806415e-09,0.34115435607610867,,,,
0.18,0.0,0.0,0.0,2.176110559934763e-08,-2.7754740466587757e-09,0.3230244445132498,,,,
0.19,0.0,0.0,0.0,2.31562727438835e-08,-3.3493518426318845e-09,0.30391672340991566,,,,
0.2,0.0,0.0,0.0,2.4561279067506382e-08,-3.993159828398482e-09,0.28383153685200746,,,,
0.21,0.0,0.0,0.0,2.59719186877669e-08,-4.708583183165745e-09,0.262769246363405,,,,
0.22,0.0,0.0,0.0,2.7384109258439785e-08,-5.496734188470771e-09,0.24073023087994588,,,,
0.23,0.0,0.0,0.0,2.8793918423779974e-08,-6.358178635459745e-09,0.21771488672219616,,,,
0.24,0.0,0.0,0.0,3.019759289527753e-08,-7.292970140829077e-09,0.19372362756696151,,,,
0.25,0.0,0.0,0.0,3.159160201914007e-08,-8.300688406760004e-09,0.16875688441752149,,,,
0.26,0.0,0.0,0.0,3.297268532318945e-08,-9.380472475942792e-09,0.1428151055726814,,,,
0.27,0.0,0.0,0.0,3.433789786371329e-08,-1.0531045552456935e-08,0.11589875659464395,,,,
0.28,0.0,0.0,0.0,3.568465093408783e-08,-1.1750735422841045e-08,0.08800832027563424,,,,
0.29,0.0,0.0,0.0,3.7010742595711234e-08,-1.3037497133297569e-08,0.0591442966032845,,,,
0.3,0.0,0.0,0.0,3.831437252123921e-08,-1.4388940484231181e-08,0.02930720272485432,,,,
0.31,0.0,0.0,0.0,1.1320109515503813e-05,2.7415244361114433e-05,0.0007703417481255337,,,,
0.32,0.0,0.0,0.0,0.0001026530051956512,0.00024391974121419649,-0.01312697185281621,,,,
0.33,0.0,0.0,0.0,0.000246723569854383,0.0005766775497430218,-0.01847700970275887,,,,
0.34,0.0,0.0,0.0,0.0004153123560594052,0.0009593039703379368,-0.0207578800602337,,,,
0.35000000000000003,0.0,0.0,0.0,0.0005939419258247427,0.0013607916198525277,-0.022501731741164543,,,,
0.36,0.0,0.0,0.0,0.0007760083060397679,0.0017682382792496803,-0.024751319780784188,,,,
0.37,0.0,0.0,0.0,0.0009186327023192492,0.0020870384497461165,-0.025214346477992613,,,,
0.38,0.0,0.0,0.0,0.0010491308579699229,0.002378732952782764,-0.02505572210168702,,,,
0.39,0.0,0.0,0.0,0.0011796221636698873,0.0026704117949549904,-0.025022884293635833,,,,
0.4,0.0,0.0,0.0,0.0013101298246586915,0.0029621268561784973,-0.02501815632959709,,,,
0.41000000000000003,0.0,0.0,0.0,0.001440639714598577,0.003253846569509866,-0.025017560691312883,,,,
0.42,0.0,0.0,0.0,0.0015711496264856468,0.0035455660123302926,-0.025017490801032705,,,,
0.43,0.0,0.0,0.0,0.0017016592715280218,0.003837284551090879,-0.025017482959636655,,,,
0.44,0.0,0.0,0.0,0.001832168609479855,0.0041290021091793215,-0.025017482107472556,,,,
0.45,0.0,0.0,0.0,0.00196267762917011,0.004420718676393862,-0.025017482017723726,,,,
0.46,0.0,0.0,0.0,0.002093186322129461,0.0047124342500425975,-0.02501748200919626,,,,
0.47000000000000003,0.0,0.0,0.0,0.0022236946795667774,0.005004148828221832,-0.025017482009156874,,,,
0.48,0.0,0.0,0.0,0.002354202692019814,0.00529586240905886,-0.025017482009982404,,,,
0.49,0.0,0.0,0.0,0.002484710349303102,0.005587574990604619,-0.02501748201088509,,,,
0.5,0.0,0.0,0.0,0.0026152176404920474,0.005879286570787719,-0.025017482011784324,,,,
0.51,0.0,0.0,0.0,0.0027457245539138572,0.00617099714737094,-0.025017482012671587,,,,
0.52,0.0,0.0,0.0,0.002876231077139597,0.006462706717909742,-0.025017482013545672,,,,
0.53,0.0,0.0,0.0,0.003006737196975091,0.006754415279715578,-0.02501748201440622,,,,
0.54,0.0,0.0,0.0,0.003137242899451126,0.007046122829828555,-0.02501748201525298,,,,
0.55,0.0,0.0,0.0,0.0032677481698162097,0.007337829364999011,-0.02501748201608565,,,,
0.56,0.0,0.0,0.0,0.003398252992533479,0.007629534881673912,-0.025017482016903902,,,,
0.5700000000000001,0.0,0.0,0.0,0.003528757351279726,0.00792123937598706,-0.025017482017707485,,,,
0.58,0.0,0.0,0.0,0.0036592612289466277,0.008212942843749309,-0.025017482018496073,,,,
0.59,0.0,0.0,0.0,0.0037897646076481884,0.008504645280431463,-0.025017482019269233,,,,
0.6,0.0,0.0,0.0,0.003920267468734925,0.0087963466811351,-0.02501748202002687,,,,
0.61,0.0,0.0,0.0,0.004050769792811419,0.009088047040551429,-0.025017482020769474,,,,
0.62,0.0,0.0,0.0,0.004181271559754475,0.009379746352917735,-0.02501748202149726,,,,
0.63,0.0,0.0,0.0,0.004311772748726134,0.009671444611979857,-0.025017482022210137,,,,
0.64,0.0,0.0,0.0,0.0044422733381785096,0.00996314181095978,-0.025017482022907826,,,,
0.65,0.0,0.0,0.0,0.00457277330585819,0.010254837942530046,-0.025017482023589863,,,,
0.66,0.0,0.0,0.0,0.004703272628815185,0.01054653299879645,-0.025017482024255768,,,,
0.67,0.0,0.0,0.0,0.004833771283416434,0.010838226971288036,-0.025017482024904922,,,,
0.68,0.0,0.0,0.0,0.004964269245358139,0.011129919850955615,-0.025017482025536823,,,,
0.6900000000000001,0.0,0.0,0.0,0.005094766489673447,0.011421611628176996,-0.025017482026151148,,,,
0.7000000000000001,0.0,0.0,0.0,0.005225262990740512,0.011713302292765149,-0.02501748202674759,,,,
0.71,0.0,0.0,0.0,0.005355758722290883,0.012004991833972339,-0.02501748202732589,,,,
0.72,0.0,0.0,0.0,0.005486253657413013,0.012296680240484088,-0.02501748202788605,,,,
0.73,0.0,0.0,0.0,0.005616747768557463,0.01258836750040964,-0.025017482028427917,,,,
0.74,0.0,0.0,0.0,0.005747241027555382,0.012880053601279511,-0.02501748202895117,,,,
0.75,0.0,0.0,0.0,0.0058777334056479835,0.013171738530050688,-0.025017482029455664,,,,
0.76,0.0,0.0,0.0,0.006008224873523975,0.013463422273116593,-0.025017482029941533,,,,
0.77,0.0,0.0,0.0,0.006138715401363475,0.013755104816319976,-0.025017482030408864,,,,
0.78,0.0,0.0,0.0,0.006269204958888872,0.014046786144965373,-0.025017482030857567,,,,
0.79,0.0,0.0,0.0,0.006399693515413858,0.014338466243821612,-0.02501748203128765,,,,
0.8,0.0,0.0,0.0,0.0065301810398826505,0.014630145097112428,-0.025017482031699012,,,,
0.81,0.0,0.0,0.0,0.006660667500900872,0.014921822688501748,-0.025017482032091348,,,,
0.8200000000000001,0.0,0.0,0.0,0.006791152866756836,0.01521349900107772,-0.02501748203246437,,,,
0.8300000000000001,0.0,0.0,0.0,0.0069216371054379895,0.015505174017344095,-0.02501748203281771,,,,
0.84,0.0,0.0,0.0,0.007052120184653674,0.01579684771923113,-0.025017482033150885,,,,
0.85,0.0,0.0,0.0,0.007182602071865355,0.0160885200881246,-0.025017482033463538,,,,
0.86,0.0,0.0,0.0,0.0073130827343237835,0.016380191104904702,-0.025017482033755378,,,,
0.87,0.0,0.0,0.0,0.007443562139108975,0.01667186074998778,-0.02501748203402617,,,,
0.88,0.0,0.0,0.0,0.007574040253161743,0.016963529003367086,-0.02501748203427592,,,,
0.89,0.0,0.0,0.0,0.007704517043304766,0.01725519584464927,-0.025017482034504664,,,,
0.9,0.0,0.0,0.0,0.007834992476263047,0.017546861253081095,-0.02501748203471231,,,,
0.91,0.0,0.0,0.0,0.007965466518684785,0.0178385252075592,-0.02501748203489879,,,,
0.92,0.0,0.0,0.0,0.008095939137151766,0.018130187686620156,-0.025017482035064233,,,,
0.93,0.0,0.0,0.0,0.008226410298191123,0.01842184866842717,-0.025017482035208673,,,,
0.9400000000000001,0.0,0.0,0.0,0.008356879968306667,0.01871350813077556,-0.025017482035332106,,,,
0.9500000000000001,0.0,0.0,0.0,0.008487348114019855,0.019005166051112604,-0.025017482035434677,,,,
0.96,0.0,0.0,0.0,0.0086178147019247,0.019296822406569467,-0.025017482035516472,,,,
0.97,0.0,0.0,0.0,0.008748279698754156,0.01958847717400207,-0.02501748203557751,,,,
0.98,0.0,0.0,0.0,0.008878743071439765,0.019880130330024334,-0.025017482035617992,,,,
0.99,0.0,0.0,0.0,0.009009204787164958,0.020171781851034014,-0.025017482035638163,,,,
1.0,0.0,0.0,0.0,0.009139664813415408,0.02046343171324499,-0.025017482035638267,,,,
1.01,0.0,0.0,0.0,0.009270123118019828,0.0207550798927293,-0.025017482035618693,,,,
1.02,0.0,0.0,0.0,0.009400579669181943,0.02104672636546651,-0.02501748203557987,,,,
1.03,0.0,0.0,0.0,0.009531034435500591,0.021338371107396458,-0.02501748203552225,,,,
1.04,0.0,0.0,0.0,0.009661487385978093,0.021630014094470264,-0.025017482035446254,,,,
1.05,0.0,0.0,0.0,0.00979193849001787,0.021921655302691724,-0.02501748203535238,,,,
1.06,0.0,0.0,0.0,0.00992238771739736,0.0222132947081414,-0.02501748203524134,,,,
1.07,0.0,0.0,0.0,0.010052835038217437,0.02250493228698954,-0.02501748203511383,,,,
1.08,0.0,0.0,0.0,0.010183280422868464,0.02279656801551926,-0.025017482034970256,,,,
1.09,0.0,0.0,0.0,0.010313723842020247,0.023088201870153147,-0.025017482034810957,,,,
1.1,0.0,0.0,0.0,0.01044416526662217,0.023379833827473342,-0.025017482034636294,,,,
1.11,0.0,0.0,0.0,0.010574604667914756,0.023671463864240388,-0.02501748203444659,,,,
1.12,0.0,0.0,0.0,0.010705042017444499,0.02396309195740725,-0.025017482034242283,,,,
1.1300000000000001,0.0,0.0,0.0,0.010835477287079877,0.024254718084127422,-0.02501748203402392,,,,
1.1400000000000001,0.0,0.0,0.0,0.010965910449046238,0.024546342221772727,-0.025017482033791946,,,,
1.1500000000000001,0.0,0.0,0.0,0.011096341475968068,0.024837964347953576,-0.025017482033546794,,,,
1.16,0.0,0.0,0.0,0.011226770340906776,0.02512958444053673,-0.025017482033288834,,,,
1.17,0.0,0.0,0.0,0.011357197017389162,0.02542120247766602,-0.02501748203301838,,,,
1.18,0.0,0.0,0.0,0.011487621479424637,0.025712818437787485,-0.025017482032735645,,,,
1.19,0.0,0.0,0.0,0.011618043701545986,0.02600443229969533,-0.02501748203244076,,,,
1.2,0.0,0.0,0.0,0.011748463658851675,0.0262960440425743,-0.025017482032133866,,,,
1.21,0.0,0.0,0.0,0.011878881327025964,0.026587653646019668,-0.025017482031815193,,,,
1.22,0.0,0.0,0.0,0.012009296682341648,0.026879261090042815,-0.025017482031485037,,,,
1.23,0.0,0.0,0.0,0.012139709701661845,0.027170866355081487,-0.02501748203114375,,,,
1.24,0.0,0.0,0.0,0.012270120362442667,0.027462469422016248,-0.025017482030791724,,,,
1.25,0.0,0.0,0.0,0.012400528642738214,0.027754070272193128,-0.025017482030429375,,,,
1.26,0.0,0.0,0.0,0.01253093452120266,0.028045668887449995,-0.025017482030057176,,,,
1.27,0.0,0.0,0.0,0.012661337977090296,0.028337265250141533,-0.02501748202967568,,,,
1.28,0.0,0.0,0.0,0.012791738990249052,0.028628859343149817,-0.02501748202928554,,,,
1.29,0.0,0.0,0.0,0.012922137541112844,0.028920451149891304,-0.02501748202888745,,,,
1.3,0.0,0.0,0.0,0.013052533610700485,0.02921204065433304,-0.025017482028481988,,,,
1.31,0.0,0.0,0.0,0.013182927180619058,0.029503627841012067,-0.02501748202806967,,,,
1.32,0.0,0.0,0.0,0.013313318233076358,0.029795212695053603,-0.025017482027650934,,,,
1.33,0.0,0.0,0.0,0.01344370675089318,0.030086795202176674,-0.025017482027226094,,,,
1.34,0.0,0.0,0.0,0.0135740927174856,0.030378375348669058,-0.025017482026795285,,,,
1.35,0.0,0.0,0.0,0.013704476116825971,0.03066995312134058,-0.0250174820263585,,,,
1.36,0.0,0.0,0.0,0.013834856933434034,0.030961528507492918,-0.025017482025915666,,,,
1.37,0.0,0.0,0.0,0.013965235152376757,0.03125310149489754,-0.025017482025466702,,,,
1.3800000000000001,0.0,0.0,0.0,0.014095610759276095,0.03154467207178974,-0.02501748202501159,,,,
1.3900000000000001,0.0,0.0,0.0,0.014225983740338358,0.03183624022689219,-0.02501748202455048,,,,
1.4000000000000001,0.0,0.0,0.0,0.01435635408239083,0.03212780594945263,-0.025017482024083645,,,,
1.41,0.0,0.0,0.0,0.014486721772901334,0.03241936922927688,-0.02501748202361138,,,,
1.42,0.0,0.0,0.0,0.014617086799983489,0.03271093005675351,-0.025017482023134002,,,,
1.43,0.0,0.0,0.0,0.01474744915238064,0.03300248842285203,-0.025017482022651794,,,,
1.44,0.0,0.0,0.0,0.014877808819434346,0.033294044319095516,-0.02501748202216498,,,,
1.45,0.0,0.0,0.0,0.015008165791058669,0.03358559773752757,-0.025017482021673716,,,,
1.46,0.0,0.0,0.0,0.015138520057719785,0.03387714867068072,-0.025017482021178112,,,,
1.47,0.0,0.0,0.0,0.015268871610430113,0.034168697111560384,-0.02501748202067822,,,,
1.48,0.0,0.0,0.0,0.015399220440749947,0.03446024305364434,-0.025017482020174085,,,,
1.49,0.0,0.0,0.0,0.015529566540803693,0.03475178649090408,-0.02501748201966584,,,,
1.5,0.0,0.0,0.0,0.015659909903292964,0.03504332741783107,-0.02501748201915382,,,,
1.51,0.0,0.0,0.0,0.015790250521504585,0.035334865829467585,-0.02501748201863854,,,,
1.52,0.0,0.0,0.0,0.01592058838932199,0.035626401721448826,-0.025017482018120478,,,,
1.53,0.0,0.0,0.0,0.01605092350123161,0.03591793509004589,-0.025017482017599988,,,,
1.54,0.0,0.0,0.0,0.01618125585231333,0.03620946593220149,-0.025017482017077305,,,,
1.55,0.0,0.0,0.0,0.016311585438210634,0.03650099424554662,-0.025017482016552604,,,,
1.56,0.0,0.0,0.0,0.016441912255094285,0.03679252002839896,-0.025017482016026046,,,,
1.57,0.0,0.0,0.0,0.016572236299628167,0.037084043279756826,-0.025017482015497774,,,,
1.58,0.0,0.0,0.0,0.016702557568899434,0.037375563999268537,-0.025017482014967913,,,,
